period,C,J,N,S
3/15/2021 23:45,0,0,0,0
3/16/2021 23:45,0,0,0,0
3/17/2021 23:45,0,0,0,0
3/18/2021 8:00,,0.01,,
3/18/2021 23:45,0,0,0,0
3/19/2021 23:45,0,0,0,0
3/20/2021 23:45,0,0,0,0
3/21/2021 23:45,0,0,0,0
3/22/2021 23:45,0,0,0,0
3/23/2021 23:45,0,0,0,0
3/24/2021 23:45,0,0,0,0
3/25/2021 17:45,,0.01,,
3/25/2021 19:00,,,,0.01
3/25/2021 19:15,,0.01,0.01,
3/25/2021 21:00,0.01,0.01,0.02,0.04
3/25/2021 21:15,0.01,0.01,0.02,0.01
3/25/2021 21:30,0.02,0.03,0.02,0.01
3/25/2021 21:45,,0.01,0.01,
3/25/2021 22:15,0.01,0.01,,0.01
3/25/2021 22:30,,0.01,,
3/25/2021 22:45,0.01,0.01,0.02,0.01
3/25/2021 23:00,0.03,0.01,0.03,0.04
3/25/2021 23:15,0.04,0.05,0.05,0.05
3/25/2021 23:30,0.04,0.05,0.06,0.05
3/25/2021 23:45,0.07,0.06,0.07,0.05
3/26/2021 0:00,0.06,0.1,0.09,0.06
3/26/2021 0:15,0.12,0.12,0.11,0.12
3/26/2021 0:30,0.07,0.06,0.08,0.06
3/26/2021 0:45,0.04,0.03,0.04,0.06
3/26/2021 1:00,0.1,0.06,0.07,0.07
3/26/2021 1:15,0.11,0.08,0.1,0.08
3/26/2021 1:30,0.02,0.03,0.04,0.02
3/26/2021 1:45,0.04,0.04,0.04,0.05
3/26/2021 2:00,0.06,0.08,0.05,0.05
3/26/2021 2:15,0.02,,0.03,0.02
3/26/2021 2:30,,0.01,,0.01
3/26/2021 2:45,0.04,0.02,0.03,0.04
3/26/2021 3:00,0.05,0.02,0.03,0.02
3/26/2021 3:15,,0.03,,
3/26/2021 3:30,0.02,0.04,0.02,0.01
3/26/2021 3:45,0.01,0.02,0.01,0.01
3/26/2021 4:00,0.01,,0.01,
3/26/2021 5:00,,0.01,,
3/26/2021 5:45,,0.01,,
3/26/2021 23:45,0,0,0,0
3/27/2021 19:45,,0.01,,0.01
3/27/2021 20:00,0.01,0.01,0.01,0.02
3/27/2021 20:15,0.04,0.03,0.03,0.03
3/27/2021 20:30,0.04,0.02,0.04,0.01
3/27/2021 20:45,0.01,,0.02,0.01
3/27/2021 21:00,,0.02,0.01,0.01
3/27/2021 21:15,0.02,0.02,0.02,0.02
3/27/2021 21:30,0.02,0.03,0.02,0.02
3/27/2021 21:45,0.02,0.01,0.02,0.02
3/27/2021 22:00,0.01,0.02,0.02,
3/27/2021 22:15,0.01,0.01,0.02,0.02
3/27/2021 22:45,,,0.01,
3/27/2021 23:00,0.01,0.02,0.02,0.02
3/27/2021 23:15,0.01,0.03,0.03,0.03
3/27/2021 23:30,0.03,0.02,0.03,0.03
3/27/2021 23:45,0.02,0.02,0.03,0.02
3/28/2021 0:00,0.02,0.02,0.03,0.02
3/28/2021 0:15,0.02,0.03,0.02,0.03
3/28/2021 0:30,0.03,0.04,0.04,0.03
3/28/2021 0:45,0.02,0.01,0.03,0.02
3/28/2021 1:00,0.01,0.02,0.02,0.02
3/28/2021 1:15,0.01,0.01,0.02,0.01
3/28/2021 1:30,0.01,0.02,0.01,0.01
3/28/2021 1:45,0.01,0.01,0.02,0.02
3/28/2021 2:00,0.02,0.01,0.02,0.01
3/28/2021 2:15,0.01,0.01,0.02,0.01
3/28/2021 2:30,0.02,0.01,0.02,0.02
3/28/2021 2:45,0.02,0.02,0.02,0.02
3/28/2021 3:00,,0.01,0.02,0.01
3/28/2021 3:15,0.01,,,
3/28/2021 3:45,,,0.01,
3/28/2021 4:00,0.01,0.01,,0.01
3/28/2021 4:15,,,0.01,
3/28/2021 5:00,,0.01,0.01,
3/28/2021 5:15,0.01,,0.01,
3/28/2021 5:30,,,,0.01
3/28/2021 6:00,0.01,,0.01,
3/28/2021 6:30,0.01,0.01,0.01,
3/28/2021 6:45,,,0.01,0.01
3/28/2021 7:00,0.01,,0.02,
3/28/2021 7:15,,,0.01,0.01
3/28/2021 7:30,0.01,,0.01,
3/28/2021 11:15,,0.01,,
3/28/2021 23:45,0,0,0,0
3/29/2021 23:45,0,0,0,0
3/30/2021 21:15,,0.01,0.01,0.02
3/30/2021 21:45,0.01,,,
3/30/2021 22:00,,,0.01,0.01
3/30/2021 23:45,0,0,0,0
3/31/2021 0:00,,0.01,0.01,
3/31/2021 0:15,0.02,0.01,0.02,0.04
3/31/2021 0:30,0.01,0.01,0.01,0.01
3/31/2021 1:15,,,,0.01
3/31/2021 3:30,,0.01,,
3/31/2021 3:45,0.01,,,
3/31/2021 4:00,0.01,0.01,0.01,
3/31/2021 4:45,,,,0.01
3/31/2021 6:30,,,0.01,
3/31/2021 23:45,0,0,0,0
4/1/2021 23:45,0,0,0,0
4/2/2021 23:45,0,0,0,0
4/3/2021 23:45,0,0,0,0
4/4/2021 23:45,0,0,0,0
4/5/2021 9:00,,0.01,,
4/5/2021 9:15,0.01,,,
4/5/2021 9:30,,0.03,0.01,
4/5/2021 9:45,0.01,0.01,0.02,0.02
4/5/2021 10:00,0.03,0.03,0.02,0.02
4/5/2021 10:15,0.02,0.04,0.04,0.03
4/5/2021 10:30,0.09,0.1,0.09,0.07
4/5/2021 10:45,0.07,0.05,0.09,0.09
4/5/2021 11:00,,0.01,0.01,
4/5/2021 13:45,0.02,0.03,,0.01
4/5/2021 14:00,0.01,0.02,0.01,0.05
4/5/2021 14:15,0.02,,0.01,
4/5/2021 23:45,0,0,0,0
4/6/2021 23:45,0,0,0,0
4/7/2021 23:45,0,0,0,0
4/8/2021 14:00,,0.06,,
4/8/2021 14:15,,0.01,0.02,
4/8/2021 14:30,0.01,0.03,0.01,0.02
4/8/2021 14:45,,0.01,0.09,
4/8/2021 15:15,0.02,0.01,0.05,0.07
4/8/2021 15:30,0.03,0.04,0.08,0.01
4/8/2021 15:45,0.01,0.02,0.01,0.02
4/8/2021 16:00,0.02,0.01,0.02,0.02
4/8/2021 16:15,0.03,0.03,0.04,0.03
4/8/2021 16:30,,0.01,0.01,
4/8/2021 16:45,,0.01,,
4/8/2021 17:00,,,,0.01
4/8/2021 17:15,0.02,0.01,0.02,0.01
4/8/2021 17:30,,,,0.01
4/8/2021 19:30,0.01,,0.01,
4/8/2021 19:45,0.01,0.01,,
4/8/2021 20:45,,,,0.01
4/8/2021 22:00,,0.01,0.03,
4/8/2021 22:15,,,,0.01
4/8/2021 23:45,0,0,0,0
4/9/2021 1:15,,0.01,,
4/9/2021 9:15,,,0.01,
4/9/2021 23:45,0,0,0,0
4/10/2021 17:00,,0.01,,
4/10/2021 17:15,0.01,0.03,,0.02
4/10/2021 17:30,0.01,0.02,0.01,0.02
4/10/2021 17:45,0.01,0.01,0.02,0.01
4/10/2021 18:00,0.01,0.01,0.01,0.01
4/10/2021 18:15,,0.02,0.01,0.02
4/10/2021 18:30,0.03,0.03,0.04,0.02
4/10/2021 18:45,,0.02,0.01,0.02
4/10/2021 19:00,0.02,0.02,0.03,0.02
4/10/2021 19:15,0.03,0.02,0.06,0.03
4/10/2021 19:30,0.02,0.03,0.03,0.02
4/10/2021 19:45,0.03,0.02,0.06,0.03
4/10/2021 20:00,0.03,0.03,0.03,0.05
4/10/2021 20:15,0.05,0.06,0.05,0.05
4/10/2021 20:30,0.03,0.05,0.06,0.04
4/10/2021 20:45,0.08,0.04,0.08,0.06
4/10/2021 21:00,0.04,0.02,0.04,0.02
4/10/2021 21:15,0.03,0.19,0.03,0.06
4/10/2021 21:30,0.06,0.1,0.06,0.04
4/10/2021 21:45,,0.01,0.09,0.01
4/10/2021 22:00,0.01,0.01,0.01,0.03
4/10/2021 22:15,0.04,0.02,0.03,0.04
4/10/2021 22:30,0.05,0.03,0.07,0.03
4/10/2021 22:45,0.01,,0.01,0.01
4/10/2021 23:00,0.01,0.01,,
4/10/2021 23:15,,0.01,0.01,
4/10/2021 23:30,,0.02,,
4/10/2021 23:45,0,0.02,0,0.01
4/11/2021 0:00,0.01,0.03,0.02,0.03
4/11/2021 0:15,0.12,0.09,0.13,0.12
4/11/2021 0:30,,0.01,0.01,0.01
4/11/2021 1:30,,0.01,,
4/11/2021 2:00,,,0.01,
4/11/2021 11:45,0.01,,,0.01
4/11/2021 12:00,,0.01,,0.01
4/11/2021 14:00,,0.01,,
4/11/2021 14:15,,0.02,,0.01
4/11/2021 14:30,0.02,0.07,0.04,0.05
4/11/2021 14:45,0.06,0.04,0.04,0.08
4/11/2021 15:00,0.01,,0.05,
4/11/2021 15:15,,0.01,0.03,0.01
4/11/2021 15:30,0.02,,0.05,0.01
4/11/2021 15:45,,,0.01,
4/11/2021 16:00,,,,0.01
4/11/2021 16:15,0.01,0.01,0.02,0.01
4/11/2021 16:30,0.01,0.03,0.01,0.01
4/11/2021 16:45,0.01,0.01,,
4/11/2021 18:30,0.04,0.01,,0.07
4/11/2021 18:45,0.03,0.04,0.05,0.02
4/11/2021 19:00,0.01,0.03,0.03,
4/11/2021 19:15,,,0.01,
4/11/2021 20:45,,,0.01,
4/11/2021 23:30,,0.02,,
4/11/2021 23:45,0,0.01,0,0
4/12/2021 0:00,,0.01,,
4/12/2021 1:00,,0.01,,
4/12/2021 2:00,0.01,,0.01,0.01
4/12/2021 2:30,,0.01,,
4/12/2021 2:45,,0.01,,
4/12/2021 5:45,,,0.01,
4/12/2021 23:45,0,0,0,0
4/13/2021 6:15,,,,0.09
4/13/2021 6:30,,0.05,,
4/13/2021 7:15,,,0.08,
4/13/2021 7:45,0.05,,,
4/13/2021 23:45,0,0,0,0
4/14/2021 23:45,0,0,0,0
4/15/2021 8:15,,0.01,,
4/15/2021 9:00,,,0.01,
4/15/2021 9:15,,0.01,,
4/15/2021 11:30,,0.01,,
4/15/2021 11:45,0.01,,,
4/15/2021 12:00,,,0.01,
4/15/2021 12:15,,0.01,,
4/15/2021 12:30,0.01,,,
4/15/2021 12:45,,0.02,,0.01
4/15/2021 13:15,,,0.02,
4/15/2021 13:30,,0.01,,
4/15/2021 17:45,0.01,,,
4/15/2021 23:45,0,0,0,0
4/16/2021 23:45,0,0,0,0
4/17/2021 23:45,0,0,0,0
4/18/2021 23:45,0,0,0,0
4/19/2021 23:45,0,0,0,0
4/20/2021 12:15,,0.01,,
4/20/2021 12:45,,,,0.01
4/20/2021 13:00,,0.01,,
4/20/2021 13:15,,,0.01,
4/20/2021 13:30,,0.01,,0.01
4/20/2021 13:45,,,,0.01
4/20/2021 14:00,,0.01,0.01,
4/20/2021 14:15,,0.01,,0.01
4/20/2021 14:30,0.01,,,0.01
4/20/2021 14:45,,0.01,0.01,
4/20/2021 15:15,,,,0.01
4/20/2021 15:30,,0.01,,
4/20/2021 15:45,0.01,0.01,0.01,0.01
4/20/2021 16:00,,,0.01,0.01
4/20/2021 16:15,,,,0.01
4/20/2021 16:30,,0.01,,
4/20/2021 16:45,,0.01,0.01,
4/20/2021 17:00,,,,0.01
4/20/2021 17:15,0.02,,0.02,0.01
4/20/2021 17:30,0.01,,,0.01
4/20/2021 17:45,,,0.02,0.01
4/20/2021 18:00,,,0.01,
4/20/2021 18:30,0.01,,,0.01
4/20/2021 19:15,0.01,,0.01,0.01
4/20/2021 19:45,,,,0.01
4/20/2021 20:00,,,,0.01
4/20/2021 20:15,0.01,,0.01,
4/20/2021 20:30,0.02,,,0.01
4/20/2021 20:45,0.01,,0.01,0.02
4/20/2021 21:00,,,,0.01
4/20/2021 21:15,,,0.01,
4/20/2021 21:30,0.01,,,0.01
4/20/2021 21:45,0.01,,0.01,0.01
4/20/2021 22:15,,,,0.01
4/20/2021 22:30,,,0.01,
4/20/2021 23:45,0,0,0,0
4/21/2021 9:15,,0.13,,
4/21/2021 9:30,,0.06,,
4/21/2021 9:45,,0.01,,
4/21/2021 17:15,,0.01,,
4/21/2021 23:45,0,0,0,0
4/22/2021 23:45,0,0,0,0
4/23/2021 23:45,0,0,0,0
4/24/2021 12:00,,0.01,,0.01
4/24/2021 15:00,,0.01,,
4/24/2021 15:15,,,,0.01
4/24/2021 15:30,,0.01,0.01,
4/24/2021 15:45,,,,0.01
4/24/2021 16:00,0.01,,0.01,
4/24/2021 16:15,,0.01,,
4/24/2021 23:45,0,0,0,0
4/25/2021 6:30,0.01,,,
4/25/2021 23:45,0,0,0,0
4/26/2021 23:45,0,0,0,0
4/27/2021 23:45,0,0,0,0
4/28/2021 9:45,,0.01,,0.01
4/28/2021 10:00,,,0.01,
4/28/2021 23:45,0,0,0,0
4/29/2021 4:00,,,,0.01
4/29/2021 4:30,,0.01,,
4/29/2021 5:00,,,0.01,0.01
4/29/2021 5:15,0.01,0.01,0.01,
4/29/2021 5:30,,0.01,,0.01
4/29/2021 6:00,,,,0.01
4/29/2021 6:15,0.01,0.01,0.01,0.01
4/29/2021 6:30,0.02,0.02,0.02,0.01
4/29/2021 6:45,0.01,,0.01,0.01
4/29/2021 7:00,,0.01,0.01,0.01
4/29/2021 7:15,0.02,0.01,0.01,
4/29/2021 9:45,,0.02,,
4/29/2021 10:00,0.01,0.01,0.01,
4/29/2021 10:15,0.01,0.01,0.02,
4/29/2021 10:30,0.01,0.03,,
4/29/2021 10:45,0.01,,0.01,0.01
4/29/2021 11:00,,0.01,0.01,0.01
4/29/2021 11:15,0.01,,,
4/29/2021 11:30,,0.01,,0.01
4/29/2021 11:45,0.01,,,
4/29/2021 12:00,,,0.01,0.01
4/29/2021 13:30,0.01,,,0.01
4/29/2021 13:45,,0.01,0.01,0.01
4/29/2021 14:00,0.01,0.02,0.01,0.02
4/29/2021 14:15,0.01,,,0.02
4/29/2021 14:30,,,0.01,0.01
4/29/2021 14:45,0.01,0.01,0.01,
4/29/2021 15:00,0.01,0.02,0.01,0.01
4/29/2021 15:15,0.02,0.03,0.03,0.03
4/29/2021 15:30,0.02,0.01,0.02,0.01
4/29/2021 15:45,0.01,,,0.01
4/29/2021 16:00,,0.01,,
4/29/2021 21:45,,,0.01,
4/29/2021 23:45,0,0,0,0
4/30/2021 7:45,,0.01,,0.01
4/30/2021 8:00,,0.01,0.01,0.01
4/30/2021 8:15,0.01,,,0.01
4/30/2021 8:30,,0.01,0.01,
4/30/2021 8:45,,0.01,,0.01
4/30/2021 23:45,0,0,0,0
5/1/2021 23:45,0,0,0,0
5/2/2021 23:45,0,0,0,0
5/3/2021 3:30,,0.01,,
5/3/2021 3:45,,,0.01,0.01
5/3/2021 4:00,0.01,0.01,0.01,0.01
5/3/2021 4:15,,0.01,0.03,0.02
5/3/2021 4:30,0.01,0.01,0.01,0.01
5/3/2021 4:45,0.01,0.03,0.01,0.02
5/3/2021 5:00,0.01,0.01,0.02,0.01
5/3/2021 5:15,0.01,,0.01,
5/3/2021 5:30,0.01,0.02,0.02,0.01
5/3/2021 5:45,,0.01,,0.01
5/3/2021 6:00,0.01,0.01,0.02,0.01
5/3/2021 6:15,0.01,,0.01,0.01
5/3/2021 6:30,,0.02,,0.01
5/3/2021 6:45,,,0.01,0.01
5/3/2021 7:00,0.01,0.01,0.02,0.01
5/3/2021 7:15,0.01,,,0.01
5/3/2021 7:30,0.01,0.01,0.01,0.01
5/3/2021 7:45,0.01,0.01,0.01,0.01
5/3/2021 8:00,0.01,,0.01,
5/3/2021 8:15,,,,0.01
5/3/2021 8:30,0.01,0.01,0.01,
5/3/2021 8:45,,,0.01,0.01
5/3/2021 9:15,0.01,0.01,,0.01
5/3/2021 9:30,,0.01,0.01,
5/3/2021 9:45,0.01,,0.01,0.01
5/3/2021 10:00,,0.01,0.01,
5/3/2021 10:15,,0.01,,
5/3/2021 10:30,,,,0.01
5/3/2021 12:00,,,0.01,
5/3/2021 17:00,,,,0.01
5/3/2021 17:15,,0.01,,
5/3/2021 19:45,,,0.01,
5/3/2021 23:45,0,0,0,0
5/4/2021 1:30,,,,0.01
5/4/2021 2:45,,0.01,,
5/4/2021 3:00,0.01,0.02,0.01,0.01
5/4/2021 3:15,0.03,0.05,0.03,
5/4/2021 3:30,0.06,0.03,0.06,0.04
5/4/2021 3:45,0.01,,,
5/4/2021 4:45,,,,0.01
5/4/2021 8:45,,,,0.03
5/4/2021 9:30,,0.02,,
5/4/2021 10:00,0.02,,,
5/4/2021 11:30,,,0.03,
5/4/2021 23:45,0,0,0,0
5/5/2021 23:45,0,0,0,0
5/6/2021 14:30,,0.01,,
5/6/2021 15:00,,,,0.01
5/6/2021 15:15,,,0.01,0.01
5/6/2021 15:30,0.01,0.01,,0.01
5/6/2021 15:45,,0.01,0.01,0.01
5/6/2021 16:00,,0.01,,0.01
5/6/2021 16:15,0.01,,,
5/6/2021 16:30,,,0.01,
5/6/2021 16:45,,0.01,0.01,0.01
5/6/2021 17:00,0.01,0.01,0.01,0.01
5/6/2021 17:15,0.01,0.01,0.01,0.01
5/6/2021 17:30,0.01,0.01,0.01,0.01
5/6/2021 18:00,,0.01,0.01,0.01
5/6/2021 18:15,0.01,0.02,,
5/6/2021 18:30,0.02,0.02,0.01,0.01
5/6/2021 18:45,,,0.01,0.01
5/6/2021 19:00,,0.01,,
5/6/2021 19:30,0.01,,,
5/6/2021 19:45,,,0.01,
5/6/2021 20:00,0.01,,,0.01
5/6/2021 21:15,,0.01,,
5/6/2021 23:45,0,0,0,0
5/7/2021 12:30,,0.06,,
5/7/2021 12:45,0.03,,0.08,0.01
5/7/2021 13:45,,,0.01,
5/7/2021 14:30,0.01,,0.01,
5/7/2021 23:45,0,,0,0
5/8/2021 23:45,0,,0,0
5/9/2021 10:15,,,,0.01
5/9/2021 10:30,0.01,,0.01,0.01
5/9/2021 10:45,,,0.02,0.01
5/9/2021 11:00,0.01,,0.01,0.01
5/9/2021 11:15,,,0.01,0.02
5/9/2021 11:30,0.01,,0.02,0.01
5/9/2021 11:45,0.01,,0.01,0.01
5/9/2021 12:00,0.02,,0.02,0.01
5/9/2021 12:15,0.02,,0.01,0.01
5/9/2021 12:30,0.01,,0.01,0.02
5/9/2021 12:45,0.01,,0.01,
5/9/2021 13:00,0.01,,0.01,0.01
5/9/2021 13:15,,,0.01,
5/9/2021 13:30,0.01,,0.01,0.01
5/9/2021 14:00,,,0.01,
5/9/2021 23:45,0,,0,0
5/10/2021 23:45,0,0,0,0
5/11/2021 23:45,0,0,0,0
5/12/2021 7:45,,0,,
5/12/2021 23:45,0,,0,0
5/13/2021 23:45,0,,0,0
5/14/2021 23:45,0,0,0,0
5/15/2021 22:45,,,0.01,
5/15/2021 23:45,0,0,0,0
5/16/2021 1:45,,0.01,,
5/16/2021 2:00,,,0.01,
5/16/2021 2:30,,,0.01,
5/16/2021 3:00,,0.01,,
5/16/2021 3:15,0.01,0.02,0.03,0.02
5/16/2021 3:30,0.03,0.01,0.02,0.03
5/16/2021 3:45,0.01,0.01,0.02,0.01
5/16/2021 4:00,,,,0.01
5/16/2021 4:15,,0.01,0.01,
5/16/2021 5:15,0.01,0.01,,0.01
5/16/2021 5:30,,0.01,0.01,0.02
5/16/2021 6:00,,,0.01,
5/16/2021 6:30,,0.01,,
5/16/2021 10:00,,,,0.01
5/16/2021 13:15,0.01,,,
5/16/2021 23:45,0,0,0,0
5/17/2021 23:45,0,0,0,0
5/18/2021 6:15,,0.01,,
5/18/2021 23:45,0,0,0,0
5/19/2021 23:45,0,0,0,0
